Total_Relationship_Count,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,L-3,Attrition_Flag
5,1515,1289,33,0.435,-0.15833662291068556,0
6,2517,1112,23,1.875,-0.15516490328802263,0
4,1801,2339,57,0.966,0.702375368090692,0
6,1823,1468,23,0.353,-0.12512122984390384,0
6,1899,1334,35,0.4,-0.13542082376119324,0
4,1695,1457,41,1.412,-0.1926685191544957,0
6,1533,1603,29,0.526,0.13387408861152697,0
2,0,615,12,0.714,0.17794402130920986,1
2,1417,1068,20,0.818,-0.12270150115919419,0
5,1219,1590,27,2.0,-0.06787353445060135,0
5,1910,1531,35,0.667,-0.1926685191544957,0
4,2056,1212,31,0.722,-0.6219049984867773,0
5,0,1237,32,0.6,0.702375368090692,0
4,837,1413,14,1.8,-0.7030158575911616,0
5,0,1516,29,1.636,0.11682057628537496,0
3,0,1276,21,1.333,-0.6425964425751961,0
4,1953,1564,35,2.182,-0.6457681621978589,0
4,0,1465,34,0.619,-0.07335001417576878,0
5,2037,1286,29,0.933,-0.15833662291068556,0
5,2440,1312,20,1.222,0.10567673517629221,0
6,895,1673,32,0.882,-0.1322491041385303,0
5,1200,1313,30,0.304,-0.05043421502627648,0
5,1706,1609,42,0.68,0.2136232849200733,0
3,2250,1158,19,0.727,0.26299547472954926,0
2,1628,836,18,0.385,0.09295741257429319,1
4,1960,1289,22,1.0,0.22893583447097415,0
5,2053,1487,26,0.733,0.11254938469592143,0
6,1264,1259,33,0.5,-0.11155766005011143,0
3,1879,1298,15,1.5,-0.15516490328802263,0
3,0,1226,34,0.789,-0.6630465461155173,0
2,926,1566,37,0.542,0.14078063752986178,0
6,931,1022,21,1.1,0.1385562824687883,0
5,2440,1235,30,0.667,0.6648717522242188,0
6,0,1951,44,1.095,0.09612913219695608,0
6,1960,1047,31,0.824,0.1843678655959668,0
4,1886,1342,32,0.391,-0.1926685191544957,0
5,865,1107,21,1.625,0.03570971718099067,0
5,1674,1251,35,0.346,-0.6125527691310774,0
2,706,1305,24,3.0,0.7252911672401843,0
6,1294,1388,37,1.056,-0.15833662291068556,0
6,895,1235,18,1.571,-0.15833662291068556,0
3,1273,2089,36,1.118,-0.6057988507222146,0
4,1559,1626,25,0.786,-0.6457681621978589,0
4,1196,1111,24,1.0,0.07138898079185411,0
3,1901,1553,38,1.0,-0.6196806434257038,0
3,1023,1064,13,0.625,-0.13447345919960374,0
4,1951,1243,29,0.611,0.13180839580781947,0
3,1836,1659,38,1.533,-0.6228523630483667,0
4,1540,1594,47,0.382,-0.5607815534629422,0
2,1527,1268,42,0.355,0.24695232509968626,0
4,0,1304,24,0.846,-0.21558431830398803,0
6,0,1368,30,0.364,-0.13447345919960374,0
3,2227,720,23,0.353,-0.13542082376119324,1
3,1300,1521,29,1.417,-0.5607815534629422,0
4,2090,1137,30,0.765,0.7492173290859656,0
5,1985,978,16,0.778,-0.1322491041385303,0
5,2517,1221,16,2.2,0.17794402130920986,0
3,1662,1565,28,1.545,-0.13542082376119324,0
3,2517,1578,34,0.7,-0.13542082376119324,0
2,797,1493,32,1.0,0.10889259665832716,0
3,788,1178,27,0.929,-0.07335001417576878,0
5,2100,991,26,0.733,-0.6125527691310774,0
5,1186,2560,42,1.211,0.24943190493575684,0
6,1568,1657,29,1.231,0.2518516336204665,0
4,2517,1204,19,0.727,0.11786483838036947,0
1,0,673,18,0.8,-0.6196806434257038,1
6,2327,1131,18,0.636,0.09390477713588265,0
2,2517,1576,25,1.5,-0.13542082376119324,0
3,1128,1217,20,0.667,-0.15516490328802263,0
2,0,530,10,1.0,0.15896881647567265,1
3,0,739,16,0.455,0.7252911672401843,1
6,2117,1617,31,2.875,-0.15516490328802263,0
3,1536,1592,34,1.0,-0.11155766005011143,0
4,1228,1343,30,1.308,-0.12270150115919419,0
4,1104,1303,39,0.625,-0.6228523630483667,0
5,0,1351,22,0.467,-0.6457681621978589,0
5,1652,1910,32,1.909,-0.12270150115919419,0
2,0,1298,22,0.571,-0.06647736465613956,0
6,1540,1087,29,1.231,0.6419559530747265,0
4,930,1439,26,1.364,0.24230403064113037,0
3,0,1238,28,0.75,0.17794402130920986,0
6,0,1716,29,0.812,-0.5607815534629422,0
6,618,1099,27,0.8,0.1524998398962383,0
4,0,1058,24,2.429,0.7417114197391497,0
2,1954,1285,29,0.706,-0.06470181482793841,0
5,1024,1651,28,1.0,-0.6228523630483667,0
2,1305,1152,31,0.824,0.22893583447097415,0
3,2071,1767,38,2.167,0.6648717522242188,0
6,2114,1039,24,0.263,0.1636764215075479,0
5,1570,1130,28,1.333,0.8071060563524382,0
3,1761,1645,30,0.429,0.7252911672401843,0
4,746,1413,29,0.706,0.7252911672401843,0
3,2173,1218,23,2.286,0.7252911672401843,0
6,2517,597,17,0.7,-0.15833662291068556,1
5,0,2184,53,0.828,-0.6801000584416693,0
4,1719,1592,37,1.467,0.8023860595301123,0
6,893,1388,28,0.75,-0.6196806434257038,0
2,0,757,20,0.25,0.09295741257429319,1
3,1260,1504,34,0.789,-0.6159797135287374,0
4,1434,1503,34,0.478,-0.53786575431345,0
5,1777,1105,28,0.867,0.017113074284315383,0
2,1836,2398,47,0.88,0.7221194476175214,0
4,2517,1661,32,1.0,-0.1322491041385303,0
6,1072,1421,22,1.444,0.7910629067225752,0
4,985,999,28,0.556,0.8071060563524382,0
3,2248,1387,18,0.8,0.8071060563524382,0
6,2107,1243,24,1.0,-0.13542082376119324,0
5,2001,1860,36,1.0,0.7252911672401843,0
6,1701,1502,25,1.273,-0.1926685191544957,0
2,1251,1460,50,1.083,-0.1926685191544957,0
6,0,1348,27,0.286,0.7119229710700281,0
3,462,1087,33,0.941,0.11469311875770653,0
5,738,1226,33,0.571,0.21938823149163805,0
5,1626,1230,28,0.867,-0.6196806434257038,0
6,0,1555,32,0.684,0.15032824050919788,0
5,1976,1827,24,3.0,-0.13542082376119324,0
5,0,1376,35,0.591,-0.11836731143504121,0
4,1594,1771,37,0.762,-0.1322491041385303,0
3,1676,1873,52,0.529,0.1524998398962383,0
5,1598,1679,42,0.556,0.14078063752986178,0
2,799,1002,22,0.571,-0.6196806434257038,0
3,1998,1344,21,1.1,-0.581935687011133,0
3,1423,1461,42,0.75,0.7221194476175214,0
1,900,760,21,0.615,-0.6196806434257038,1
4,1687,1428,22,1.444,0.18188461562516497,0
5,866,1777,42,0.75,0.09295741257429319,0
4,2006,1302,27,0.8,-0.1926685191544957,0
4,1632,1483,41,0.519,0.23913231101846744,0
3,1679,1060,27,0.5,-0.18579586963486644,0
4,1468,1330,32,0.684,-0.18579586963486644,0
3,1580,1229,27,0.8,-0.5452607045954826,0
2,0,886,27,0.421,-0.1322491041385303,1
3,0,844,24,0.5,0.08036122251389642,1
2,1779,1450,37,0.947,-0.05043421502627648,0
2,2395,2311,48,0.714,0.26299547472954926,0
4,1649,1378,26,1.167,-0.6196806434257038,0
3,1359,1033,26,1.364,0.11688357442007444,0
5,2207,1523,40,1.105,-0.11155766005011143,0
4,2517,1374,37,0.762,-0.7030158575911616,0
5,1721,1080,21,1.333,-0.53786575431345,0
3,1955,1234,24,0.714,0.21938823149163805,0
5,1168,1600,32,0.455,-0.15516490328802263,0
5,2509,1155,32,0.882,0.03570971718099067,0
6,1202,1353,33,0.737,-0.6228523630483667,0
4,1835,1546,25,1.273,0.7997111060704055,0
2,1603,1590,43,1.263,0.15502822215971754,0
5,1272,1448,22,1.0,0.7252911672401843,0
5,2295,1271,24,0.714,-0.15833662291068556,0
6,1141,1223,20,0.538,0.017113074284315383,0
5,679,1117,29,1.071,-0.06470181482793841,0
4,1789,994,24,0.846,-0.6457681621978589,0
4,0,1468,26,0.625,0.15896881647567265,0
6,2222,1658,38,0.357,0.7997111060704055,0
3,1304,1368,38,0.407,-0.1322491041385303,0
4,1666,1218,18,0.8,-0.11155766005011143,0
4,1025,702,12,0.714,0.8071060563524382,1
2,1740,1516,21,2.0,0.09295741257429319,0
5,1748,1310,26,1.0,-0.13447345919960374,0
6,1644,1767,50,0.923,0.2051562072177907,0
6,1819,933,25,0.923,0.15896881647567265,0
4,1301,1512,27,1.455,0.18188461562516497,0
2,1833,829,17,0.7,0.7221194476175214,1
3,0,1120,27,0.35,-0.11836731143504121,0
5,1222,1506,33,0.941,0.8071060563524382,0
4,1585,1384,36,2.273,0.07004161342480088,0
2,2517,817,30,0.667,0.09612913219695608,1
4,1475,2094,25,0.667,-0.6457681621978589,0
2,0,815,21,0.615,0.32411891975338425,1
1,0,510,24,0.6,0.24230403064113037,1
6,1289,1377,49,0.69,-0.13542082376119324,0
2,1650,1193,33,0.65,0.6992036484680292,0
6,1666,1287,36,0.636,0.11844019963766327,0
3,0,701,19,0.727,-0.598989199337285,1
4,1532,1770,25,0.923,-0.1926685191544957,0
5,2480,1409,35,0.167,0.0484731816423618,0
4,1486,1354,28,0.647,0.1385562824687883,0
5,1125,1765,34,1.615,-0.53786575431345,0
6,709,1192,27,0.588,0.19499753363536187,0
2,1054,687,17,0.545,-0.5607815534629422,1
3,1495,1227,15,0.875,-0.6196806434257038,0
4,1152,1737,26,1.6,-0.6196806434257038,0
4,953,1348,34,1.125,0.01279391803149835,0
4,1510,1435,38,0.462,0.7230668121791108,0
2,849,1321,28,0.75,0.7841902572029459,0
6,1378,1479,29,0.611,-0.05043421502627648,0
2,1652,1283,39,1.294,0.2561858233446194,0
1,0,689,23,0.353,0.2225955266421156,1
6,1171,965,17,1.125,0.03570971718099067,0
2,2143,1541,40,1.0,0.09612913219695608,0
5,795,1258,23,1.3,0.8071060563524382,0
5,1650,1339,20,0.538,-0.1322491041385303,0
2,1082,1007,22,1.444,0.11318264452310811,0
6,2430,1387,33,1.357,-0.055154211848602315,0
1,0,960,18,0.385,-0.53786575431345,1
3,1434,1119,18,3.5,-0.1926685191544957,0
6,1115,1642,41,0.519,0.15502822215971754,0
5,0,1382,31,1.067,0.7324190415348107,0
6,0,1232,32,0.684,0.8071060563524382,0
4,1029,1542,16,1.286,-0.15833662291068556,0
4,1576,1094,32,0.524,-0.6457681621978589,0
2,1769,1217,30,1.143,0.7252911672401843,0
1,0,744,18,1.0,-0.21558431830398803,1
4,1007,1614,33,0.737,0.7252911672401843,0
5,2481,1747,31,1.214,0.7896667369281134,0
3,1100,1144,22,1.0,-0.53786575431345,0
4,1440,1575,34,2.4,-0.1514639733910563,0
4,2168,1463,24,1.667,-0.6057988507222146,0
5,1711,1706,21,1.625,0.8071060563524382,0
3,0,909,14,0.273,-0.6101330404463677,1
3,1999,2434,33,1.538,-0.05043421502627648,0
2,1274,1876,41,0.783,0.7221194476175214,0
3,0,1000,25,0.786,-0.598989199337285,1
6,2517,1139,30,0.765,-0.15516490328802263,0
6,2221,799,21,0.235,-0.12270150115919419,1
2,1376,1881,45,0.607,0.14135599878715557,0
2,1703,1273,27,0.588,-0.21558431830398803,0
2,1608,1328,33,0.571,0.11844019963766327,0
3,1682,1579,36,1.118,0.07138898079185411,0
5,1718,937,28,0.556,-0.03338070270012446,0
6,1814,1749,37,2.083,0.15896881647567265,0
5,837,1424,29,1.417,-0.53786575431345,0
5,2217,2011,41,0.783,-0.53786575431345,0
5,1250,1208,31,0.632,-0.53786575431345,0
2,583,1259,24,1.0,-0.6026271310995518,0
2,1418,1319,26,0.368,-0.5607815534629422,0
5,2303,949,27,2.0,-0.615032348967148,0
5,1343,1338,30,1.308,0.6648717522242188,0
6,1577,1554,26,0.444,0.14790851182448828,0
2,2061,1350,32,0.455,0.17930373381580092,0
5,1130,1694,44,0.76,0.6648717522242188,0
3,1707,1678,40,0.538,-0.11155766005011143,0
4,0,2069,43,0.536,-0.6101330404463677,0
6,2030,1222,23,0.438,-0.15833662291068556,0
2,0,1536,37,0.423,-0.13447345919960374,0
2,2475,1400,31,2.1,0.7252911672401843,0
2,930,1050,28,1.154,-0.53786575431345,0
3,1047,1389,33,1.2,-0.1926685191544957,0
5,0,1184,29,0.611,0.6419559530747265,0
5,2223,2093,42,1.0,-0.1322491041385303,0
2,1381,678,11,0.833,-0.11155766005011143,1
2,2154,1467,29,1.417,-0.14561730030868653,0
5,2169,1219,27,0.5,-0.6801000584416693,0
4,1912,1730,36,0.565,0.09612913219695608,0
4,2070,1025,28,0.647,-0.6196806434257038,0
5,1539,1165,33,0.833,-0.6228523630483667,0
4,1297,2133,55,0.719,-0.05043421502627648,0
3,0,1122,13,0.182,-0.1514639733910563,0
4,1926,1083,22,1.75,0.7928384565507762,0
3,2177,1234,23,1.875,-0.6388955126782296,0
3,2376,1277,23,1.875,0.7348387702195204,0
4,2517,1843,35,0.944,-0.6801000584416693,0
3,1355,1747,49,0.581,0.7459826113286031,0
3,1823,1166,22,1.444,0.14078063752986178,0
6,2505,1326,31,0.824,0.15466243023335086,0
4,2517,1619,36,1.0,0.09612913219695608,0
5,1069,1285,16,0.333,-0.07335001417576878,0
4,2242,1142,28,1.0,-0.15516490328802263,0
4,1605,1190,46,0.643,0.702375368090692,0
3,1785,1052,24,0.714,-0.15516490328802263,0
5,1699,1628,38,0.727,-0.03713772121989033,0
6,1844,1740,32,0.882,-0.598989199337285,0
4,2462,1378,29,0.812,-0.1322491041385303,0
4,2517,996,26,0.444,0.17794402130920986,1
3,2321,1389,32,0.6,-0.6196806434257038,0
5,1571,1365,38,1.0,-0.6196806434257038,0
5,1942,1715,43,0.87,-0.15516490328802263,0
6,1560,1582,25,0.786,0.6648717522242188,0
6,1692,1220,22,0.692,-0.15833662291068556,0
2,537,715,13,0.182,0.8071060563524382,1
3,1710,2552,49,1.227,-0.6228523630483667,0
3,0,1106,31,0.938,-0.11155766005011143,0
6,2439,1731,34,1.833,-0.6196806434257038,0
5,1173,1435,32,0.6,-0.7030158575911616,0
5,2517,1882,38,0.652,-0.6801000584416693,0
5,1648,2058,34,0.789,0.7252911672401843,0
4,2517,1658,32,1.462,-0.1322491041385303,0
3,2117,1334,32,0.6,-0.5521333541151119,0
5,1090,1441,29,0.812,-0.13542082376119324,0
6,0,1371,39,1.167,-0.07335001417576878,0
6,1375,1991,38,0.583,0.7841902572029459,0
6,755,1278,22,1.444,-0.21558431830398803,0
3,1503,1734,39,1.167,0.6648717522242188,0
3,2517,1330,34,1.125,0.6419559530747265,0
4,1465,1787,31,0.722,-0.12270150115919419,0
6,2165,1672,32,0.524,0.7221194476175214,0
6,0,1439,41,1.05,0.7252911672401843,0
5,2031,1558,31,0.938,-0.15833662291068556,0
6,2274,1795,47,0.679,-0.6219049984867773,0
6,1440,893,22,0.375,-0.05043421502627648,0
6,0,1099,27,0.588,-0.1322491041385303,0
3,848,1408,23,1.091,0.11682057628537496,0
6,969,1893,15,2.75,-0.05043421502627648,0
5,1644,1151,31,1.385,-0.1322491041385303,0
5,1270,1519,31,0.938,-0.15516490328802263,0
5,1785,1245,25,0.786,-0.598989199337285,0
3,793,1102,27,0.286,0.6648717522242188,0
5,1799,1402,33,0.737,0.17794402130920986,0
6,1521,1060,30,1.308,-0.15516490328802263,0
3,1411,1459,35,1.188,-0.6196806434257038,0
4,1403,1456,39,0.444,-0.6425964425751961,0
6,1586,1439,48,1.0,0.12741244135970556,0
6,1766,1353,24,1.182,-0.53786575431345,0
5,1560,1173,32,0.391,-0.05043421502627648,0
5,1955,1746,28,1.0,0.7221194476175214,0
3,726,1279,28,0.867,-0.6451773243845601,0
4,2250,1307,29,0.261,-0.12537645461890104,0
6,1818,1473,37,1.176,-0.13542082376119324,0
6,1794,1805,37,0.762,0.7630361236547551,0
4,2381,1421,23,1.3,-0.6801000584416693,0
6,1576,1272,37,1.312,-0.6196806434257038,0
3,1980,1409,34,0.619,-0.13542082376119324,0
2,1547,647,15,0.364,0.15466243023335086,1
3,1617,1275,25,0.667,-0.1926685191544957,0
6,1915,1270,27,0.588,0.09612913219695608,0
3,1480,1702,37,0.947,-0.1322491041385303,0
6,1162,1256,26,1.0,-0.1926685191544957,0
6,2008,3178,53,0.656,0.21938823149163805,0
5,1233,1626,29,1.636,-0.6801000584416693,0
6,1288,1562,33,0.5,0.1636764215075479,0
5,1346,1960,57,0.727,0.2225955266421156,0
3,1554,1154,38,1.235,0.7841902572029459,0
5,843,1629,38,0.727,-0.18579586963486644,0
3,1662,1226,25,0.923,0.2561858233446194,0
5,2233,1743,27,0.929,-0.598989199337285,0
5,1306,1139,39,0.444,0.6992036484680292,0
6,1253,1073,21,0.4,0.8241595686785902,0
3,1120,683,17,0.7,0.7459826113286031,1
3,0,1159,32,0.684,0.23913231101846744,0
6,2086,1859,47,0.958,0.11682057628537496,0
6,2094,1205,28,0.867,-0.598989199337285,0
5,2033,1409,37,0.37,-0.07335001417576878,0
3,0,1000,18,0.059,0.18188461562516497,1
6,0,1209,39,0.3,-0.16874235730871442,0
5,1254,1366,25,0.786,0.2698681242491785,0
5,0,1161,44,0.375,-0.15516490328802263,0
4,1675,1512,38,0.407,0.8071060563524382,0
4,913,1750,35,1.333,-0.1926685191544957,0
6,1954,1170,24,0.846,0.057445423364404107,0
3,968,2218,50,0.613,0.09612913219695608,0
3,1249,1198,33,0.833,-0.5309931047938207,0
3,1965,1329,26,0.444,0.08036122251389642,0
3,1673,857,36,1.118,-0.1322491041385303,1
3,2517,1470,30,1.143,0.07004161342480088,0
3,1454,1435,25,1.778,0.6648717522242188,0
3,0,1093,22,0.833,0.01279391803149835,0
6,0,715,20,0.818,-0.1322491041385303,1
5,2517,1512,42,0.909,-0.15833662291068556,0
6,0,2399,43,0.955,-0.6801000584416693,0
6,785,906,22,1.2,-0.15833662291068556,0
3,1930,1052,16,1.286,0.24917668016075964,0
4,1001,975,11,0.833,-0.53786575431345,0
5,1299,783,20,0.667,0.6419559530747265,1
6,1916,990,21,0.909,-0.6228523630483667,0
4,0,1097,24,0.5,-0.598989199337285,0
2,0,901,35,0.522,0.09612913219695608,1
5,820,1327,41,0.864,-0.06470181482793841,0
6,1851,1814,31,0.722,0.24549131061980173,0
4,2388,1365,34,1.429,0.10567673517629221,0
3,0,1058,34,0.889,0.3098513199517222,0
6,0,1476,38,0.9,-0.6125527691310774,0
6,1627,1230,36,0.565,-0.05043421502627648,0
3,2081,1581,44,0.833,0.8071060563524382,0
3,1257,1534,29,0.933,0.17794402130920986,0
4,1727,1612,39,1.438,0.13893627010244597,0
6,2280,1302,36,0.636,0.07004161342480088,0
3,2517,1439,40,0.481,0.16050470188488503,0
5,1794,1724,45,0.452,-0.1322491041385303,0
5,1390,1784,35,0.944,-0.07335001417576878,0
3,1531,1156,29,1.071,-0.11667804808518056,0
6,1469,2556,49,1.13,0.32411891975338425,0
3,0,1590,37,0.37,-0.13542082376119324,0
1,0,884,19,0.727,-0.15516490328802263,1
1,1518,973,25,0.923,0.702375368090692,1
3,0,1447,30,0.875,-0.07335001417576878,0
5,877,1150,26,0.625,0.07004161342480088,0
3,1143,1193,21,0.615,-0.6228523630483667,0
3,0,706,21,0.5,-0.1926685191544957,1
6,0,1257,23,0.643,0.15502822215971754,0
5,0,1303,35,0.75,0.8023860595301123,0
3,0,1306,39,0.5,-0.6425964425751961,0
1,0,748,20,0.429,0.7221194476175214,1
6,1565,1774,42,2.0,0.7221194476175214,0
5,1910,1209,25,1.5,0.14078063752986178,0
6,1074,1074,31,0.632,-0.6196806434257038,0
6,1078,1786,50,0.786,-0.13542082376119324,0
4,1611,1456,36,0.714,-0.15516490328802263,0
5,2192,1300,25,1.083,0.01279391803149835,0
3,1654,1470,42,0.235,0.702375368090692,0
2,1911,715,25,0.562,0.15466243023335086,1
4,839,1198,24,1.0,-0.21558431830398803,0
4,1208,1556,43,1.048,0.15466243023335086,0
5,2061,1606,30,1.5,-0.1926685191544957,0
2,2517,929,31,0.409,0.702375368090692,1
6,1385,1606,54,0.421,0.09295741257429319,0
5,1138,1199,32,0.6,0.6419559530747265,0
4,1483,2400,60,0.622,0.14078063752986178,0
4,1660,1337,44,0.76,0.14135599878715557,0
3,896,1270,33,0.833,0.8135299006391951,0
2,0,654,14,0.4,0.240079675580057,1
3,1526,1909,54,0.688,-0.1926685191544957,0
3,0,922,25,0.562,0.11786483838036947,1
5,2235,1158,42,0.355,-0.5607815534629422,0
6,2362,1323,26,0.444,-0.05043421502627648,0
4,0,1025,35,0.667,-0.5607815534629422,0
5,2149,1700,35,1.5,0.03570971718099067,0
6,1597,1628,51,1.217,0.7896667369281134,0
5,885,1377,32,0.684,-0.05043421502627648,0
4,723,1517,33,0.65,-0.15833662291068556,0
5,1972,1528,25,1.083,0.14078063752986178,0
5,1748,1329,24,0.6,-0.15833662291068556,0
4,774,1505,33,0.737,-0.47031846500285795,0
5,1713,1172,38,0.462,-0.07335001417576878,0
3,2098,1646,39,1.294,-0.13542082376119324,0
4,1529,1693,32,1.286,0.24230403064113037,0
3,0,1336,23,0.211,0.301203120603892,0
5,1351,1289,19,0.727,-0.6228523630483667,0
4,1923,1416,32,0.778,-0.6457681621978589,0
6,0,1608,33,1.2,0.8023860595301123,0
3,0,1885,51,0.545,0.24230403064113037,0
3,2216,1744,53,0.606,-0.1926685191544957,0
6,1112,1922,48,0.655,-0.6228523630483667,0
5,1833,1448,29,0.381,0.13387408861152697,0
6,1603,1300,36,0.8,0.301203120603892,0
6,1895,1366,31,0.632,0.10567673517629221,0
6,1257,1439,39,1.053,0.24230403064113037,0
6,2043,1241,46,0.643,-0.12270150115919419,0
3,809,1917,33,0.941,-0.6228523630483667,0
4,1672,1391,39,0.625,0.3916662090639761,0
4,2517,1246,31,0.824,0.21938823149163805,0
5,1044,1248,27,0.688,0.6648717522242188,0
3,2493,1936,44,1.316,-0.6196806434257038,0
3,1786,2375,63,0.575,0.11469311875770653,0
3,2517,1238,25,1.083,0.08036122251389642,0
5,1985,1626,41,0.864,-0.6196806434257038,0
3,710,791,22,0.833,0.7119229710700281,1
5,0,1204,28,0.333,0.702375368090692,0
5,2008,1300,33,0.5,0.13387408861152697,0
3,1535,1612,47,0.88,-0.7030158575911616,0
4,1658,1071,28,1.0,-0.07335001417576878,0
3,1721,1378,37,0.762,-0.1926685191544957,0
6,1084,1100,29,0.381,0.21938823149163805,0
5,1152,2052,45,0.607,-0.1322491041385303,0
3,2517,1349,33,1.357,-0.21558431830398803,0
6,977,1215,36,0.714,-0.026508053180495216,0
3,2137,1149,25,0.562,0.09390477713588265,1
5,1540,2354,50,0.786,0.17794402130920986,0
6,2019,2644,40,0.481,-0.15516490328802263,0
3,1799,918,14,0.556,0.23913231101846744,1
3,2113,1362,31,1.214,-0.6483490440072229,0
6,1013,1222,37,0.85,-0.598989199337285,0
4,0,1364,32,0.684,0.7324190415348107,0
4,1203,1463,40,1.0,-0.13542082376119324,0
5,2318,1631,31,0.824,0.09612913219695608,0
4,1513,1878,55,0.41,-0.5539089039433129,0
6,838,1489,32,0.455,-0.5607815534629422,0
3,1603,1437,37,0.609,-0.06470181482793841,0
4,2332,1313,37,0.609,0.21621651186897511,0
4,1412,1290,38,0.462,-0.7030158575911616,0
4,1124,1975,49,1.579,0.09612913219695608,0
1,0,807,22,0.692,0.14135599878715557,1
5,1466,1438,28,0.556,0.2306767972462253,0
6,1692,1233,29,0.611,-0.598989199337285,0
3,0,709,27,0.421,-0.1926685191544957,1
4,1387,1597,39,0.56,0.01279391803149835,0
6,0,1283,28,1.154,-0.1926685191544957,0
3,2517,1101,37,0.276,-0.53786575431345,0
3,1601,1593,36,0.333,0.23913231101846744,0
6,1928,1631,46,0.533,-0.15516490328802263,0
6,2259,2194,53,0.606,0.14078063752986178,0
6,0,1128,27,0.929,0.21938823149163805,0
6,1667,1497,35,0.25,-0.13542082376119324,0
4,0,1385,50,0.515,-0.13447345919960374,0
4,0,1449,27,1.455,0.10567673517629221,0
3,0,974,28,0.273,0.14078063752986178,1
3,0,731,18,0.5,-0.6801000584416693,1
4,0,1191,37,1.176,0.7348387702195204,0
4,1788,1421,34,0.308,0.24291042881043767,0
